7.5,-105,7.5,-105,8,-120,8,100,8,-123,8,103,8,-112,8,102,8,-120,8,100,8,-120,8,100,8,-120,8,100,81,19,90,10,0
8,100,8,-120,7.5,100,7.5,-120,7.5,100,7.5,-120,7.5,106,7.5,-116,7.5,-105,7.5,-115,7.5,-105,7.5,-115,7.5,100,7.5,-120,63,37,43,57,1
8.5,-115,8.5,-105,9,-105,9,-115,9,-102,9,-118,9,101,9,-112,9,100,9,-120,9,-107,9,-113,9,-105,9,-115,61,39,51,49,0
9.5,-110,9.5,-110,9.5,100,9.5,-120,9.5,-107,9.5,-113,9.5,103,9.5,-114,9.5,-105,9.5,-115,9,-120,9,100,9.5,-105,9.5,-115,64,36,74,26,1
7.5,-120,7.5,100,7.5,-115,7.5,-105,7.5,-115,7.5,-105,7.5,-110,7.5,-100,7.5,-115,7.5,-105,7.5,-110,7.5,-110,7.5,-115,7.5,-105,49,51,26,74,0
8.5,-110,8.5,-100,8.5,-105,8.5,-115,8.5,-105,8.5,-115,8.5,-102,8.5,-108,8.5,-105,8.5,-115,8.5,-102,8.5,-118,8.5,-105,8.5,-115,60,40,19,81,0
7.5,100,7.5,-120,7.5,-120,7.5,100,7.5,-120,7.5,100,7.5,-112,7.5,102,7.5,-115,7.5,-105,7.5,-120,7.5,100,7.5,-120,7.5,100,61,39,80,20,1
8.5,100,8.5,-120,8.5,-106,8.5,-114,8.5,-108,8.5,-112,8.5,-101,8.5,-110,8.5,-110,8.5,-110,8.5,-106,8.5,-114,8.5,-105,8.5,-115,71,29,63,37,1
9,-101,9,-119,8.5,-110,8.5,-110,8.5,-115,8.5,-105,8.5,-104,8.5,-106,8.5,-115,8.5,-105,8.5,-110,8.5,-110,8.5,-110,8.5,-110,75,25,78,22,1
9,-120,9,100,9.5,100,9.5,-120,9,-122,9,102,9.5,104,9.5,-114,9,-120,9,100,9.5,100,9.5,-120,9,-125,9,105,53,47,70,30,0
8.5,-105,8.5,-115,8,-106,8,-104,8,-110,8,-110,8,-106,8,-104,8,-115,8,-105,8,-119,8,-101,8,-115,8,-105,42,58,34,66,0
7.5,-119,7.5,-101,7.5,-105,7.5,-115,7.5,-110,7.5,-110,7.5,-101,7.5,-109,7.5,-105,7.5,-115,7.5,-105,7.5,-115,7.5,-105,7.5,-115,66,34,38,62,0
8,-110,8,-110,8.5,-110,8.5,-110,8.5,-113,8.5,-107,8.5,103,8.5,-113,8.5,-110,8.5,-110,8.5,-110,8.5,-110,8.5,-110,8.5,-110,72,28,87,13,0
7.5,-119,7.5,-101,7,-109,7,-111,7,-110,7,-110,7,-102,7,-108,7,-110,7,-110,7,-109,7,-111,7,-105,7,-115,62,38,55,45,1
7,-120,7,100,7,-110,7,-110,7,-118,7,-102,7,-105,7,-105,7,-115,7,-105,7,-110,7,-110,7,-110,7,-110,38,62,20,80,1
8,-110,8,-110,9,100,9,-120,9,-106,9,-114,8.5,-117,8.5,106,9,100,9,-120,8.5,-119,8.5,-101,9,-105,9,-115,77,23,84,16,2
9,-110,9,-110,8.5,-110,8.5,-110,8.5,-107,8.5,-113,8.5,-108,8.5,-102,8.5,-110,8.5,-110,8.5,-110,8.5,-110,8.5,-110,8.5,-110,60,40,25,75,1
9.5,-101,9.5,-119,8.5,-120,8.5,100,8.5,-118,8.5,-102,8.5,-116,8.5,105,8.5,-120,8.5,100,8.5,-120,8.5,100,8.5,-120,8.5,100,66,34,54,46,1
9,-101,9,-119,8.5,-110,8.5,-110,8.5,-112,8.5,-108,8.5,-110,8.5,-100,8.5,-105,8.5,-115,8.5,-110,8.5,-110,8.5,-110,8.5,-110,41,59,31,69,0
8,-120,8,100,7.5,-105,7.5,-115,7.5,-105,7.5,-115,7.5,-100,7.5,-110,7.5,-105,7.5,-115,7.5,-101,7.5,-119,7.5,-105,7.5,-115,37,63,31,69,0
7.5,-115,7.5,-105,7.5,109,7.5,-120,7.5,100,7.5,-120,7.5,109,7.5,-120,7.5,100,7.5,-120,7.5,106,7.5,-129,7.5,-105,7.5,-115,66,34,45,55,1
9,-101,9,-119,8.5,-110,8.5,-110,8,-125,8,105,8.5,-103,8.5,-107,8,-120,8,100,8.5,-110,8.5,-110,8.5,-105,8.5,-115,59,41,36,64,1
8.5,-119,8.5,-101,8,-115,8,-105,8,-120,8,100,8,-113,8,103,8.5,-105,8.5,-115,8,-111,8,-109,8,-115,8,-105,72,28,53,47,0
8,100,8,-120,7,-110,7,100,7.5,108,7.5,-128,7,-113,7,103,7.5,105,7.5,-125,7,-115,7,-105,7,-115,7,-105,66,34,38,62,1
7.5,100,7.5,-120,7.5,-105,7.5,-115,7.5,-103,7.5,-117,7.5,104,7.5,-115,7.5,-105,7.5,-115,7.5,105,7.5,-125,7.5,-105,7.5,-115,59,41,48,52,1
9,100,9,-120,8.5,-115,8.5,-105,8.5,-117,8.5,-103,8.5,-110,8.5,100,8.5,-120,8.5,100,8.5,-113,8.5,-107,8.5,-115,8.5,-105,69,31,60,40,0
8.5,-110,8.5,-110,8.5,-120,8.5,100,8.5,-125,8.5,105,8.5,-116,8.5,106,8.5,-120,8.5,100,8.5,-120,8.5,100,8.5,-120,8.5,100,76,24,61,39,0
9,-105,9,-115,9,-105,9,-115,9,-105,9,-115,9,-102,9,-108,9,100,9,-120,9,-101,9,-119,9,-105,9,-115,49,51,42,58,1
8.5,100,8.5,-120,8.5,-101,8.5,-119,8,-120,8,100,8.5,103,8.5,-114,8.5,-105,8.5,-115,8.5,-101,8.5,-119,8.5,100,8.5,-120,77,23,75,25,0
8,100,8,-120,7.5,-110,7.5,-110,7.5,-108,7.5,-112,7.5,-101,7.5,-109,7.5,-110,7.5,-110,7.5,-110,7.5,-110,7.5,-110,7.5,-110,50,50,20,80,1
8,-110,8,-110,8.5,-101,8.5,-110,8.5,-107,8.5,-113,8.5,-103,8.5,-107,8.5,-110,8.5,-110,8.5,-105,8.5,-115,8.5,-110,8.5,-110,59,41,74,26,0
9.5,-110,9.5,-110,9.5,-110,9.5,-110,9.5,-114,9.5,-106,9.5,-110,9.5,-100,9.5,-110,9.5,-110,9.5,-110,9.5,-110,9.5,-110,9.5,-110,68,32,56,44,0
8,-110,8,-110,9,-105,9,-115,9,100,9,-120,9,108,9,-119,9,-105,9,-115,9,-122,9,101,9,100,9,-120,74,26,86,14,0
8.5,-120,8.5,100,9.5,-101,9.5,-119,9.5,-105,9.5,-115,9.5,101,9.5,-111,9.5,-105,9.5,-115,9.5,-101,9.5,-119,9.5,-105,9.5,-115,82,18,92,8,0
7.5,-110,7.5,-110,7.5,-105,7.5,-115,7.5,103,7.5,-123,7.5,107,7.5,-118,7.5,-105,7.5,-115,7.5,-105,7.5,-115,7.5,-105,7.5,-115,59,41,61,39,1
8,-109,8,-111,7.5,-120,7.5,100,7.5,-118,7.5,-102,8,103,8,-114,7.5,-120,7.5,100,7.5,-120,7.5,100,7.5,-120,7.5,100,58,42,43,57,0
8,-110,8,-110,7.5,-115,7.5,-105,7.5,-110,7.5,-110,7.5,-106,7.5,-104,7.5,-120,7.5,100,7.5,-109,7.5,-111,7.5,-115,7.5,-105,55,45,28,72,0
8.5,-105,8.5,-115,9,100,9,-120,9,-103,9,-117,9,105,9,-116,9,-105,9,-115,9,107,9,-129,9,100,9,-120,75,25,81,19,0
7,-110,7,-110,7,-120,7,100,7,-116,7,-104,7,-115,7,104,7,-120,7,100,7,-118,7,-102,7,-120,7,100,68,32,48,52,1
8.5,-120,8.5,100,8.5,-105,8.5,-115,8.5,-104,8.5,-116,8.5,-102,8.5,-108,8.5,-110,8.5,-110,8.5,-110,8.5,-110,8.5,-105,8.5,-115,53,47,49,51,0
7,100,7,-120,7,-112,7,-108,7,-107,7,-113,7,-102,7,-108,7,-110,7,-110,7,-110,7,-110,7,-110,7,-110,42,58,42,58,0
8,-110,8,-110,8,-115,8,-105,8,-115,8,-105,8,-108,8,-102,8,-115,8,-105,8,-115,8,-105,8,-115,8,-105,81,19,75,25,1
9,-110,9,-110,9,-105,9,-115,9,-105,9,-115,9,-104,9,-106,9,100,9,-120,9,100,9,-120,9,-110,9,-110,28,72,30,70,1
7.5,100,7.5,-120,7,-115,7,104,7.5,105,7.5,-125,7,-115,7,104,7,-120,7,100,7,-119,7,-101,7,-120,7,100,48,52,31,69,1
7,-120,7,100,8,-105,8,-115,8,-106,8,-114,8,-105,8,-105,8,-110,8,-110,8,-110,8,-110,8,-105,8,-115,74,26,47,53,0
7,-110,7,-110,7.5,105,7.5,-125,7.5,110,7.5,-130,7,-120,7,109,7.5,-105,7.5,-115,7.5,-101,7.5,-119,7.5,110,7.5,-130,64,36,54,46,1
7,-110,7,-110,7,-110,7,-110,7,-112,7,-108,7,-102,7,-109,7,-105,7,-115,7,-112,7,-108,7,-110,7,-110,42,58,31,69,1
8.5,-110,8.5,-110,8.5,100,8.5,-120,8.5,100,8.5,-120,8,-114,8,103,8.5,100,8.5,-120,8.5,105,8.5,-125,8.5,100,8.5,-120,51,49,64,36,0
8.5,-105,8.5,-115,8.5,100,8.5,-120,8.5,100,8.5,-120,8,-112,8,101,8.5,-105,8.5,-115,8.5,100,8.5,-120,8.5,-105,8.5,-115,57,43,64,36,0
7.5,-110,7.5,-110,8,-110,8,-110,8,-113,8,-107,8,-102,8,-108,8,-105,8,-115,8,-109,8,-111,8,-110,8,-110,62,38,67,33,1
7,-110,7,-110,6.5,-120,6.5,100,6.5,-115,6.5,-105,6.5,-115,6.5,104,6.5,-120,6.5,100,6.5,-124,6.5,104,6.5,-120,6.5,100,57,43,34,66,1
7,-110,7,-110,6.5,-111,6.5,100,6.5,-119,6.5,-101,6.5,-111,6.5,101,6.5,-125,6.5,105,6.5,-115,6.5,-105,6.5,-115,6.5,-105,66,34,39,61,0
8.5,-115,8.5,-105,8.5,-126,8.5,105,8.5,-126,8.5,106,9,103,9,-114,8.5,-125,8.5,105,8.5,-126,8.5,105,9,-105,9,-115,68,32,62,38,1
7.5,-110,7.5,-110,7,-105,7,-115,7,-107,7,-113,7,-100,7,-110,7,-110,7,-110,7,100,7,-120,7,-105,7,-115,68,32,42,58,0
8.5,-115,8.5,-105,9,-117,9,106,9.5,106,9.5,-126,9,-117,9,106,9.5,-110,9.5,-110,9,-119,9,-101,9,-120,9,100,60,40,72,28,0
